# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'L1-dcache-load-misses'
# Event count (approx.): 775478472
#
# Overhead  Command    Shared Object     Symbol                                                                               
# ........  .........  ................  .....................................................................................
#
    28.18%  coda-main  coda-main         [.] coda::threat_accum::ThreatStack::ensure_computed
    22.81%  coda-main  coda-main         [.] coda::nnue::NNUENet::forward_with_l1_pairwise_inner
    10.12%  coda-main  coda-main         [.] coda::nnue::finny_batch_apply
     8.55%  coda-main  coda-main         [.] coda::nnue::simd_acc_fused_avx2
     6.73%  coda-main  coda-main         [.] coda::search::negamax
     2.77%  coda-main  coda-main         [.] coda::threats::push_threats_for_piece
     2.41%  coda-main  coda-main         [.] coda::movepicker::MovePicker::next
     1.46%  coda-main  coda-main         [.] coda::threat_accum::ThreatStack::refresh
     1.40%  coda-main  coda-main         [.] coda::nnue::NNUEAccumulator::materialize
     1.37%  coda-main  coda-main         [.] coda::nnue::NNUEAccumulator::refresh_accumulator
     1.18%  coda-main  coda-main         [.] coda::board::Board::attackers_to
     0.92%  coda-main  coda-main         [.] coda::search::corrected_eval
     0.85%  coda-main  coda-main         [.] coda::board::Board::make_move
     0.80%  coda-main  coda-main         [.] coda::threats::piece_attacks_occ
     0.73%  coda-main  coda-main         [.] coda::search::quiescence_with_depth
     0.73%  coda-main  coda-main         [.] coda::search::SearchInfo::eval
     0.64%  coda-main  coda-main         [.] coda::movegen::generate_captures
     0.60%  coda-main  coda-main         [.] coda::board::Board::unmake_move
     0.57%  coda-main  coda-main         [.] coda::movepicker::MovePicker::pick_best
     0.57%  coda-main  coda-main         [.] coda::nnue::NNUENet::forward_with_threats
     0.47%  coda-main  coda-main         [.] coda::see::see_ge
     0.45%  coda-main  coda-main         [.] coda::tt::TT::store
     0.37%  coda-main  coda-main         [.] coda::board::Board::pinned
     0.31%  coda-main  libc.so.6         [.] 0x0000000000188c58


#
# (Cannot load tips.txt file, please install perf!)
#
