rank,attacker_cp,victim_cp,attacker_name,victim_name,total_features,total_hits
0,0,0,wP,wP,78,2933425
1,6,6,bP,bP,77,2933425
2,5,0,wK,wP,375,2657186
3,11,6,bK,bP,375,2657186
4,4,0,wQ,wP,1162,2644868
5,10,6,bQ,bP,1162,2644868
6,3,0,wR,wP,721,2350765
7,9,6,bR,bP,721,2350765
8,8,6,bB,bP,493,2311765
9,2,0,wB,wP,492,2311672
10,3,6,wR,bP,721,1949835
11,9,0,bR,wP,721,1949835
12,7,6,bN,bP,315,1708682
13,1,0,wN,wP,314,1708383
14,4,6,wQ,bP,1162,1323277
15,10,0,bQ,wP,1162,1323277
16,3,2,wR,wB,896,1191496
17,9,8,bR,bB,896,1191496
18,4,2,wQ,wB,1456,1086616
19,10,8,bQ,bB,1456,1086616
20,2,6,wB,bP,493,998246
21,8,0,bB,wP,492,998246
22,4,1,wQ,wN,1456,971621
23,10,7,bQ,bN,1456,971621
24,4,3,wQ,wR,1456,914325
25,10,9,bQ,bR,1456,914325
26,0,1,wP,wN,84,902830
27,6,7,bP,bN,84,902830
28,3,1,wR,wN,896,862363
29,9,7,bR,bN,896,862363
30,5,2,wK,wB,420,642447
31,11,8,bK,bB,420,642447
32,1,6,wN,bP,315,569076
33,7,0,bN,wP,314,569075
34,2,3,wB,wR,560,486499
35,8,9,bB,bR,561,486499
36,3,3,wR,wR,672,408542
37,9,9,bR,bR,672,407307
38,5,3,wK,wR,420,383260
39,11,9,bK,bR,420,383260
40,2,1,wB,wN,560,380960
41,8,7,bB,bN,560,380960
42,2,7,wB,bN,560,253908
43,8,1,bB,wN,560,253908
44,1,2,wN,wB,336,249332
45,7,8,bN,bB,336,249332
46,1,3,wN,wR,336,227527
47,7,9,bN,bR,336,227527
48,1,4,wN,wQ,336,215466
49,7,10,bN,bQ,337,215466
50,4,7,wQ,bN,1456,207830
51,10,1,bQ,wN,1456,207830
52,3,7,wR,bN,896,189553
53,9,1,bR,wN,896,189553
54,5,1,wK,wN,420,166750
55,11,7,bK,bN,420,166750
56,6,0,bP,wP,77,161629
57,3,8,wR,bB,896,148882
58,9,2,bR,wB,896,148882
59,4,9,wQ,bR,1456,121173
60,10,3,bQ,wR,1456,121173
61,4,8,wQ,bB,1456,120447
62,10,2,bQ,wB,1456,120447
63,9,3,bR,wR,672,111526
64,6,9,bP,bR,85,95018
65,0,3,wP,wR,84,95017
66,0,6,wP,bP,48,85284
67,1,1,wN,wN,224,72908
68,10,4,bQ,wQ,952,66611
69,5,6,wK,bP,375,59473
70,11,0,bK,wP,375,59473
71,8,2,bB,wB,336,59051
72,2,9,wB,bR,561,56189
73,8,3,bB,wR,560,56189
74,7,7,bN,bN,224,56085
75,1,8,wN,bB,336,42456
76,7,2,bN,wB,336,42456
77,7,1,bN,wN,224,30034
78,0,7,wP,bN,84,23478
79,6,1,bP,wN,84,23478
80,3,9,wR,bR,672,18631
81,5,9,wK,bR,420,17259
82,11,3,bK,wR,420,17259
83,5,7,wK,bN,420,17089
84,11,1,bK,wN,420,17089
85,1,9,wN,bR,336,10893
86,7,3,bN,wR,336,10893
87,4,10,wQ,bQ,952,9927
88,5,8,wK,bB,420,9532
89,11,2,bK,wB,420,9532
90,1,10,wN,bQ,337,7807
91,7,4,bN,wQ,336,7714
92,1,7,wN,bN,224,6977
93,2,8,wB,bB,336,4574
94,0,9,wP,bR,85,4562
95,6,3,bP,wR,85,4263
96,4,4,wQ,wQ,952,59
97,10,10,bQ,bQ,952,47
98,8,8,bB,bB,336,23
99,2,2,wB,wB,336,4
