engine,depth,n_pos,med_nodes,med_seldepth,med_time_ms,med_inc_nps
Coda,2,60,128,4.0,0,None
Coda,3,60,318,6.0,0,None
Coda,4,60,439,6.0,0,None
Coda,5,60,769,9.0,0,579000
Coda,6,60,1494,12.0,1,1030000
Coda,7,60,3424,15.0,2,1380666
Coda,8,60,5326,15.0,4,1393500
Coda,9,60,9016,18.0,6,1553083
Coda,10,60,16481,19.5,10,1600357
Coda,11,60,25231,21.5,14,1642000
Coda,12,60,40965,24.0,25,1634733
Coda,13,60,64676,26.0,37,1680871
Coda,14,60,93552,27.0,61,1688454
Coda,15,60,142150,29.5,90,1753593
Coda,16,60,180011,30.5,106,1703857
Coda,17,60,238160,32.0,133,1712025
Coda,18,60,294179,33.0,174,1741345
Coda,19,60,418991,35.0,243,1730065
Coda,20,60,546303,35.0,317,1791452
Coda,21,60,838304,37.0,505,1740726
Coda,22,60,1043353,38.0,626,1690312
Coda,23,60,1454042,40.0,884,1711862
Coda,24,60,1735983,40.0,1056,1722747
SF,2,60,91,4.0,1,None
SF,3,60,187,5.0,1,None
SF,4,60,368,6.0,1,None
SF,5,60,785,8.0,1,None
SF,6,60,1574,9.0,1,1319500
SF,7,60,2351,9.0,1,1428000
SF,8,60,3541,11.5,2,1622500
SF,9,60,6127,13.0,3,1712500
SF,10,60,10456,15.0,6,1887555
SF,11,60,15293,17.0,8,1681000
SF,12,60,29057,20.0,14,1832883
SF,13,60,49878,21.5,25,1853812
SF,14,60,72702,24.5,37,1880250
SF,15,60,128127,26.0,61,1854233
SF,16,60,188069,27.5,101,1795258
SF,17,60,269205,31.0,151,1854311
SF,18,60,389408,32.0,231,1831156
SF,19,60,608203,35.0,342,1916079
SF,20,60,832904,38.0,439,1850121
SF,21,60,1102782,38.5,597,1871030
SF,22,60,1512107,40.5,784,1822737
SF,23,60,1988066,43.0,1072,1859367
SF,24,60,2473689,43.5,1437,1873053
Reckless,2,60,132,3.0,0,None
Reckless,3,60,252,4.0,0,829000
Reckless,4,60,664,5.0,0,968000
Reckless,5,60,1359,6.0,1,1309000
Reckless,6,60,2602,7.0,1,1825000
Reckless,7,60,4510,10.0,2,1984500
Reckless,8,60,7790,11.0,3,2125800
Reckless,9,60,13015,14.0,6,2319788
Reckless,10,60,21621,15.5,9,2208000
Reckless,11,60,33356,18.0,16,2218750
Reckless,12,60,59694,20.0,28,2260000
Reckless,13,60,78135,21.0,37,2224800
Reckless,14,60,132337,22.0,57,2333473
Reckless,15,60,185290,25.0,85,2262078
Reckless,16,60,265566,26.0,131,2176406
Reckless,17,60,393609,29.0,195,2161801
Reckless,18,60,586951,31.0,253,2158352
Reckless,19,60,744211,32.5,323,2112864
Reckless,20,60,982423,34.0,411,2135706
Reckless,21,60,1254867,36.0,565,2162750
Reckless,22,60,1697951,38.0,814,2167329
Reckless,23,60,2127598,38.5,1021,2133710
Reckless,24,60,3213594,40.0,1407,2208674
