engine,depth,n_pos,med_nodes,med_seldepth
Coda,2,150,133,4.0
Coda,3,150,321,6.0
Coda,4,150,446,6.0
Coda,5,150,820,9.0
Coda,6,150,1670,11.5
Coda,7,150,3145,14.0
Coda,8,150,5634,16.0
Coda,9,150,9903,18.0
Coda,10,150,17102,21.0
Coda,11,150,28199,23.0
Coda,12,150,40668,24.0
Coda,13,150,64132,26.0
Coda,14,150,89221,27.0
Coda,15,150,128170,29.5
Coda,16,150,183526,31.0
Coda,17,150,253659,32.0
Coda,18,150,335686,33.0
SF,2,150,105,4.0
SF,3,150,266,5.0
SF,4,150,533,6.0
SF,5,150,900,7.0
SF,6,150,1425,8.0
SF,7,150,2489,10.0
SF,8,150,4311,12.0
SF,9,150,6349,13.0
SF,10,150,10350,15.0
SF,11,150,20470,18.0
SF,12,150,33143,20.0
SF,13,150,51902,22.5
SF,14,150,81076,24.0
SF,15,150,127433,27.0
SF,16,150,183648,28.0
SF,17,150,278038,31.0
SF,18,150,452136,33.0
Reckless,2,150,154,3.0
Reckless,3,150,317,4.0
Reckless,4,150,857,5.0
Reckless,5,150,1418,6.0
Reckless,6,150,2451,7.0
Reckless,7,150,4234,10.0
Reckless,8,150,7034,11.0
Reckless,9,150,11992,14.5
Reckless,10,150,18796,16.0
Reckless,11,150,28191,17.0
Reckless,12,150,47040,20.0
Reckless,13,150,72649,21.5
Reckless,14,150,103589,23.5
Reckless,15,150,154221,24.5
Reckless,16,150,223683,27.0
Reckless,17,150,304174,28.0
Reckless,18,150,431833,30.0
