host,cpu,arch,engine,isa,mode,evals_per_sec
callisto,"11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz",x86_64,coda,native,fresh,202641
callisto,"11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz",x86_64,coda,native,refresh,419265
callisto,"11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz",x86_64,coda,native,incremental,1369813
callisto,"11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz",x86_64,coda,native,make-unmake,8542399
callisto,"11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz",x86_64,coda,avx2,fresh,158173
callisto,"11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz",x86_64,coda,avx2,refresh,344009
callisto,"11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz",x86_64,coda,avx2,incremental,909345
callisto,"11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz",x86_64,coda,avx2,make-unmake,9160002
callisto,"11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz",x86_64,reckless,native,fresh,632530
callisto,"11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz",x86_64,reckless,native,incremental,2373973
callisto,"11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz",x86_64,reckless,native,make-unmake,11090580
callisto,"11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz",x86_64,reckless,native,make-unmake-null,21224134
callisto,"11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz",x86_64,reckless,avx2,fresh,417514
callisto,"11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz",x86_64,reckless,avx2,incremental,2012476
callisto,"11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz",x86_64,reckless,avx2,make-unmake,7085172
callisto,"11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz",x86_64,reckless,avx2,make-unmake-null,14301433
