7r/3k4/r2b2pp/2pPpp2/P7/1P2BP2/2KN2PP/4R3 b - - 2 29	-65
rn1q1rk1/1b3ppp/1ppb1n2/pP1pN3/5P2/P3P3/1BPPB1PP/RN1Q1RK1 w - - 1 11	575
5rk1/3r1pp1/BQ2b2p/1p2p3/1P1n2q1/2NP2P1/P3PP1P/2R2RK1 b - - 4 22	-75
r7/8/P2Kp3/5pp1/4k3/4P3/R4P2/8 b - - 1 44	-392
r1bq1rk1/1p2p2p/p4p1b/3p2pn/P2P4/1P1P1N1P/3QNPP1/R1B2RK1 b - - 3 16	-18
8/6p1/4p1k1/p4q2/P2Q4/7P/7K/8 w - - 8 52	-369
1R6/8/P1p3pP/5pPr/2k2P2/2p5/8/3K4 b - - 0 44	17
1N3rk1/2b3p1/4q2p/ppP5/3p1p2/3Q2P1/1P2R1KP/R7 b - - 1 32	-375
r1b1r1k1/ppp2ppp/2np4/8/2P5/2B2qP1/PP1QN2P/2R1KB1R w - - 2 15	386
8/8/2p5/2P4p/1PQ1p3/4q2P/P2k2PK/8 b - - 0 39	86
3q1rk1/r1p1b1pp/2p1p3/p1Pp1p2/3Pn3/1P1BP2P/PB3PPK/R2Q1R2 w - - 0 16	429
6k1/8/4r2p/1P1QB1Pp/5P1n/7q/7P/4Rb1K w - - 4 49	43
2r5/5kp1/2r4p/p7/1bpB1PPP/7K/P1R1P3/2R5 b - - 4 41	-580
r1q1k2r/1p1bp1b1/1p3p2/3Q2pp/3N2n1/2N2BP1/PP2PP1P/2KR3R w kq - 0 18	449
8/p2R1p2/1k6/2rp4/8/2P5/P4K2/8 b - - 4 41	129
8/1pp5/2b1Pkq1/6p1/2P1pp2/1P5Q/5PPB/7K b - - 7 47	229
8/5Bn1/3k2p1/8/pK5p/4PP1P/6P1/8 b - - 1 56	-15
2krr3/1pp2ppb/p4n1p/8/1nPN4/N3P2P/PP3PP1/R3KB1R w - - 2 19	-385
1r4k1/p6p/2p2pp1/2N1Pb2/2P5/qPR3Q1/3r2PP/5RK1 w - - 7 26	-5
3r2k1/pp2n1p1/2pnp1rp/4R3/2pP1P2/P1P1P3/2Q2K2/1R6 b - - 1 29	-411
1r4k1/q1nRpp2/2P2b1p/5Pp1/p1N5/8/P5BP/5Q1K w - - 5 46	-424
5k2/8/2RN4/P5pp/6P1/5p1P/3n3K/r7 w - - 0 46	-483
1r2k2r/p2n1p2/6p1/2pNP1bp/2PP2b1/4P1P1/P2B4/R3N1KR w k - 1 24	135
5Q2/1n3p2/4p1k1/1B3p1p/P4P1P/6P1/6RK/1q1r4 w - - 5 53	14
8/pk4r1/1bp1n3/P2r2B1/1PR1p1PP/5p2/5P2/4RBK1 b - - 0 44	-338
1k1r2r1/1bp2ppp/p4n2/1p2PqN1/1b6/1PNp1P2/PB1P1QPP/2R2RK1 w - - 1 21	-299
1Q6/4kn2/3pr3/8/2K2P2/4P3/8/8 w - - 12 64	552
7r/1r1b1k2/1b2p3/3pPp2/PQ1B2p1/4P1N1/1P3PPq/R1R2K2 b - - 8 30	-133
1k5r/1b6/2p1p3/2Pp3p/P3pPpP/1Pp1P1P1/4B3/5RK1 w - - 0 31	446
2r2k2/1p3p2/p5p1/P1rb3p/3N3P/1P2P3/5PPK/R2R4 w - - 1 34	348
3k4/3r4/1P2p3/4P3/1R2bPpp/3pB3/1P5P/6K1 b - - 3 45	351
r3r1k1/pp3qp1/2b5/5nB1/4p1Qp/P6P/1P3PBK/2R2R2 b - - 5 29	319
1K3k2/1Q1P4/5p2/5P1p/3q3P/8/8/8 b - - 0 77	-9
1b6/3k3p/8/1p4p1/3Pp1P1/4P2P/P2B4/2K5 w - - 0 38	511
