d_pre	d_post	fen	line
70	78	1r6/1pp1q1pk/2r1b2p/4Pp2/3Q1P1P/2P3P1/3RB1K1/R7 w - - 3 39	d4b4 e7c5 a1a3 g7g5 b4c5 c6c5
73	53	3r2k1/4rpb1/pR5p/q5pQ/3Pp2n/1B2B3/5PP1/1R4K1 w - - 2 31	b6h6 g7h6 h5h6 a5f5 b3a2 f5g4
8	28	r1bq1rk1/ppp3bp/3p1np1/4pp2/1nPP4/1PN1P1PP/PB2NPB1/R2QK2R w KQ - 5 7	d1d2 d8e7 a2a3 b4a6 c3d5 f6d5
81	103	6rk/2n1pb2/1pBp1q1p/5pN1/2Pp1P1P/3P4/3Q2P1/4R1K1 w - - 0 26	d2b4 h6g5 f4g5 f6g6 e1e7 c7a6
48	45	r1bqk2r/ppp2pb1/2nppnp1/7p/3P4/1P3NP1/PBP1PPBP/RN1QK2R w KQkq - 2 4	c2c4 d8e7 b1c3 e8g8 d1d2 e6e5
126	58	5b2/5p2/2k3p1/3p3p/1P1P4/1KB1rP1P/6P1/R7 w - - 9 50	a1a6 c6b5 a6a8 f8e7 a8e8 h5h4
58	51	7r/pp1k2p1/4pn2/qp2p3/PbQ4p/1PB1P2P/2Pr2P1/R4RK1 w - - 0 16	c4b4 a5b4 c3b4 d2c2 a4b5 h8a8
7	20	5rk1/1pp1r2p/1n1p2p1/1P1P1p2/p1R5/P1N1PN1P/5PP1/n4RK1 w - - 0 26	c4h4 a1b3 f1d1 b3c5 f3g5 f8a8
7	49	b2r4/2p2pp1/4k2p/1P2N3/4n3/8/1KR1BPPP/8 w - - 5 22	e5c6 d8d6 c6a5 e4f6 g2g3 f6e8
20	38	rn2kb1r/ppq2pp1/2p1b2p/4p1P1/P2Pp3/4P1NP/1PPB1P2/R2QKB1R w KQkq - 2 8	g3e4 e6d5 d1f3 h6g5 c2c4 d5e4
56	74	1k1r1b1r/ppq5/2n1bp2/2pnp1pp/4N3/P2PPPP1/1P1BQNBP/1R3RK1 b - - 2 12	c7b6 f1c1 f8e7 g3g4 h8g8 g1h1
45	46	7k/2R5/2B3p1/P3Kp1p/7P/2p3P1/3r4/5b2 b - - 0 44	c3c2 c6b7
52	48	4r1k1/3q2p1/2p5/3p3n/P2P3P/1PQ2R1P/3N2K1/8 w - - 7 54	f3e3 e8f8 e3f3 f8e8 c3d3 e8e1
45	18	1k6/1p1q4/p1pnbp2/3p1N1p/1PnP3N/3BP2P/P1Q2PK1/8 b - - 5 34	b8c8 a2a4 c8c7 g2g3 c7b8 g3g2
102	50	5rk1/p2r1qp1/3p3p/Ppp5/5n2/2P2N1P/1P1QRPPK/3R4 w - - 8 23	e2e3 d7d8 b2b4 a7a6 b4c5 d6c5
55	64	8/5p1k/4pqpp/p2n4/Pp1PQ3/1P3P1P/3B2P1/6K1 b - - 1 38	f6d8 g2g4 d8c7 g1g2 c7e7 g2f2
39	7	r1b2rk1/p2qb1p1/np1p4/2pPp2p/2P1PpnP/2N5/PP1BBPPN/R2QK2R w KQ - 2 12	c3b5 a8b8
36	72	2br4/2q2p1k/3bp2p/2p5/1PPp3Q/r2N2P1/5PB1/1R2R1K1 b - - 0 32	c5b4 c4c5
64	57	6r1/2p1kp2/1p6/2n4p/4P2P/1p3P2/PBP5/2KR4 w - - 0 23	a2b3 g8g3 d1d5 g3f3 b2a3 f3f4
49	59	r3rbk1/3q1p2/ppn2p2/2p2b1p/P2p4/1PP2NPP/1RNP1PBK/4RQ2 b - - 1 16	e8e1 c2e1
29	42	1rbq1rk1/2pnnpbp/p2pp1p1/1p6/3PP3/PP3NP1/RBPN1PBP/3QR1K1 w - - 4 9	c2c4 b5c4 d2c4 c8b7 c4a5 d6d5
60	43	8/1rp2k2/3n1p1p/6p1/p7/PP2RP2/K7/4R3 b - - 0 37	a4b3 e3b3 b7a7 b3c3 h6h5 e1c1
47	45	3r3k/r7/7p/4Pb2/P4P1n/2P4P/1P3RB1/6RK w - - 3 33	h1h2 a7a4 g2h1 a4c4 g1g3 h4g6
100	69	2rr2k1/p3qpp1/1p2p3/4P1Q1/PbNBb3/1P2P3/2P4P/R2K2R1 b - - 0 24	e7g5 g1g5 b4c3 a1a2 e4f3 d1c1
15	27	r2qkb1r/1bpn1p1p/p2p1np1/4p3/1pP1P3/P2PB1PP/1P1NNPB1/R2QK2R b KQkq - 0 6	a6a5 d3d4 e5d4 e2d4 f8g7 e1g1
24	59	r1b2rk1/1p2ppb1/p1p3p1/q2Pp2p/P3P2P/R1N1Q3/1PP1BPP1/5RK1 b - - 0 14	g8h7 a3b3 c6c5 e2c4 f8d8 f1a1
187	88	5r1k/prq5/3p3p/PP2b1p1/1P1BP2n/5P2/3Q2PP/3R1RK1 b - - 0 25	b7b5 f3f4
12	4	2rqkb1r/pp2n2p/4bnp1/1P1p1p2/2PPp3/1QN5/PB1NBPPP/R4RK1 w k - 0 10	c4d5 e7d5 a1c1 f8h6 c3d5 e6d5
24	16	2rr2k1/1bq1np2/4p1p1/p1p1P3/Pp4QP/1P2P3/1B3PB1/2R1R1K1 w - - 1 19	h4h5 b7g2 g4g2 g8g7 g2g5 d8h8
72	79	r4rk1/4bpp1/1qQ4p/p2n4/P7/3b4/1P1BBPPP/2RR2K1 w - - 0 18	e2d3 b6c6 c1c6 d5b4 d2b4 e7b4
18	10	rnbqrbk1/1pp2p1p/3p1npP/4p3/P1PP4/2N1P3/P3BPP1/R1BQ1KNR b - - 2 7	b8d7 c1b2 d7b6 d4e5 d6e5 d1d8
7	46	2q1r1k1/p3bpp1/4p3/N1P4p/5PnP/P4B2/1PR2P2/3Q2K1 b - - 0 21	e8d8 d1e2 e7h4 f3g4 h5g4 e2g4
81	75	8/2bq1kp1/1p1p1p1p/1PpP1b1P/P6N/3P1QK1/3B4/8 b - - 12 42	f5h7 g3f2 d7c8 d2f4 f6f5 f3e3
36	48	r2qkbnr/1b1npppp/p2p4/1pp5/P4P2/2P1P3/1P1P1NPP/RNBQKB1R w KQkq - 1 3	a4b5 a6b5 a1a8 d8a8 b1a3 b5b4
72	54	1r6/2p3k1/1n4p1/3p3p/5q2/p1PP1P1B/1P2RQ1P/7K w - - 0 24	b2a3 b6a4 f2g3 f4g3 h2g3 b8b1
93	32	1r1qr1k1/1p1n1pp1/p6p/3P4/P1PNp3/7P/1Q3PP1/R1R3K1 w - - 2 24	a1b1 d8f6 a4a5 b8c8 d4e2 f6b2
77	98	r1b1r1k1/2q2pp1/p1pb1n1p/1p2N3/3P1B2/1B5P/PPP1QPP1/R4RK1 b - - 3 12	c8e6 e2f3 a6a5 b3e6 e8e6 e5d3
74	25	r3brk1/2q1b3/2pnnp2/1p2p1p1/4P1Pp/1P1R1Q1P/2P1NPB1/2BR1NK1 w - - 1 27	f1e3 e6c5 d3c3 d6e4 b3b4 e4c3
21	45	4N3/p1p5/1pk5/8/2Pp3n/1P1Pr3/P4K1P/5R2 w - - 0 30	e8f6 e3d3 f2e2 d3h3 f6g4 c6c5
36	26	5k2/p2R4/Pb4p1/1r6/1P2B3/4P3/3NKP2/2r5 w - - 17 50	d2f3 b5b4 f3g5 b4b2 e2f3 c1f1
76	112	r1bqr1k1/1pn3b1/2p2npp/p2pPp2/P1B2N1P/BP2PQ1N/2P2PP1/R3R1K1 b - - 0 16	f6e4 f4g6
115	62	r4qk1/1pp2pp1/4b3/1P1R2Q1/p3P2p/1P5P/2P3P1/1K3R2 w - - 4 23	f1d1 e6d5 d1d5 a4b3 c2b3 f7f6
49	54	r1b1r1k1/p2n1pbp/2q1P1p1/p1pp4/N7/1P1N1P2/PBP3PP/R2QR2K b - - 0 15	e8e6 e1e6 f7e6 b2g7 g8g7 c2c4
36	68	2r1r1k1/1b1n1p2/p2Rp2p/2n4p/5P2/2P1BN2/P1B3P1/5RK1 w - - 3 22	f1e1 f7f5 c2b3 g8f7 e3d4 b7e4
71	116	8/5pk1/6p1/3Pp2p/1pP1n2P/1B1N2Pb/4QP2/q5K1 w - - 6 40	g1h2 h3f5
66	74	q3r1k1/4np1p/4p1p1/2p1N1B1/4nQ2/6P1/1P3P1P/2R3K1 b - - 2 24	e7f5 h2h4 f7f6 e5g4 e8f8 c1e1
28	32	3r2k1/p2q2b1/6bp/1p2n3/6P1/2P1Q1P1/PP1B2B1/R4NK1 w - - 6 28	e3c5 e5c4 d2f4 c4b2 g2c6 d7e6
10	28	rnbqk1nr/2p2pp1/1p1pp2p/p7/3N4/P2PP2P/P1PB1PP1/R2QKB1R b KQkq - 1 4	g8e7 d1f3 d6d5 f3g3 e8g8 f1e2
117	126	r5k1/2p3q1/4p1pp/pp1nP3/3Q2P1/8/PP1B2KP/5R2 w - - 4 23	h2h4 a8d8 g2g1 b5b4 d4f2 g8h7
81	62	q2r4/5pk1/3P2p1/p1p2p2/2P2P2/2P4P/P3Q2P/1R4K1 b - - 0 32	a8e4 e2e4 f5e4 b1b6 g7f6 b6c6
68	17	r1b1r1k1/2p1qppp/pn1b4/4p3/2P1P3/4B1P1/1P1N1PBP/R2Q1RK1 w - - 1 15	d1c2 b6d7
34	47	2rqk2r/pp4pp/3bpn2/1QpbNp2/3P4/P3PP2/1P2N1PP/R1B2RK1 b k - 5 12	e8e7 e2f4 d8b6 f4d5 e6d5 b5d3
49	58	8/8/1r3k2/6pp/7P/3K2P1/R4P2/8 w - - 0 57	h4g5 f6g5 a2a4 b6e6 a4e4 e6a6
6	13	3r3k/4p1rp/1p5N/2p1p1P1/p3Q3/P3P2P/3P2RK/5q2 w - - 0 38	h6f5 d8f8 f5g7 h8g7 e4h4 f1f5
69	61	6k1/pb1r1rb1/1p4pp/2p2pB1/Q2q4/3P3P/PP3PP1/R2BR1K1 w - - 0 19	g5e3 d4a4 d1a4 f5f4 e3c1 d7d3
87	31	r1bq1rk1/1ppnbppp/4pn2/2Pp4/P2P4/2N1PN1P/PB3PP1/R2QKB1R w KQ - 1 7	a1b1 c7c6 d1c2 b7b6 c5b6 d7b6
46	47	R7/5p1k/4r3/6p1/8/6K1/6P1/8 b - - 3 43	h7g6 a8d8 e6b6 g3f3 g6h6 d8h8
29	44	r3kb1r/pb1qn1p1/1pn1pp2/2pp4/1P2PP1p/2PP2PN/P1N1Q1BP/R1B2RK1 w kq - 0 9	g3g4 c5b4 c3b4 a7a5 b4b5 c6b4
13	77	2kr1br1/1bp1qp2/1pn1pnpp/p2pP3/1P5P/PNPPBN2/2Q1BPP1/3RK2R b K - 0 13	f6g4 e3f4 g6g5 f4g3 f7f5 e5f6
86	105	1rbq1rk1/p1pnnpb1/3p2pp/4pP2/1p4P1/2NPP3/PPPBQ1BP/2K2RNR w - - 0 8	c3d5 e7d5 g2d5 c7c6 d5b3 d7c5
19	0	r2q1rk1/pbpn1ppp/1p1b1n2/3p4/P2Pp2P/BPP1P1P1/4NPB1/RN1Q1RK1 b - - 2 8	d6a3 b1a3 c7c6 c3c4 h7h6 d1c2
52	81	2kr1q1r/1ppb1pb1/p1n1p1pp/4Pn2/2B1NQ1P/5N2/PPPB1PP1/2KR3R b - - 6 11	f5d4 f3d4 g7e5 d4e6 f8e7 f4g4
3	20	2r4r/k2b1p2/p3p1p1/p1npP2p/3N1P2/PPN2RP1/2P4P/1K1R4 w - - 1 20	a3a4 c8c7 f3e3 h8c8 b1b2 c7b7
68	97	rr6/3Rbk1p/5pp1/1N2pn2/1P6/4P2P/P4PP1/4BRK1 w - - 1 22	d7a7 a8a7 b5a7 b8a8 a7b5 a8a2
59	37	3r2k1/bq3pp1/p1p3bp/3p4/3N2P1/2P2Q1P/PP1R1PB1/6K1 b - - 3 21	d8d6 d2e2 d6f6 f3e3 g8h7 e3e7
18	15	r4rk1/2p1n1pp/1pn2p2/1p1pp3/PP6/1P1P1BPq/2QBPP2/R1R3K1 w - - 0 13	a4b5 c6d4 c2c7 a8e8 a1a7 e7f5
38	61	8/1b1Nr1k1/5bp1/p4r2/PpB1pP1p/1P2K2P/5RP1/3R4 b - - 17 37	f6c3 d1d6 c3e1 f2f1 e1g3 c4e6
66	22	r4rk1/ppp1b1pp/4b1q1/1Pnp1p2/P1PBnP2/4P3/3NB1PP/RN1Q1RK1 w - - 0 12	e2h5 g6h6 c4d5 e6d5 d2e4 c5e4
40	61	6k1/2p3p1/3nQp1p/3q4/p7/Pr3P2/KP6/R3R3 b - - 3 33	d5e6 e1e6 g8f7 a1e1 g7g5 e6e3
50	32	r2q1bk1/1pp2p1p/2n2np1/3p1b2/2PP4/P1N2N1P/Q4PP1/B2R1BK1 w - - 2 19	c3d5 f6d5 c4d5 a8a3 a2b2 d8d5
38	52	8/1bp5/1p1p1k2/p4rpp/P7/1PP1RpPP/8/4R1K1 w - - 0 33	e3e6 f6g7 e6e7 f5f7 g1f2 g5g4
45	44	rn3k1r/1pbb1pp1/p2Np3/2P5/5Pp1/6Pq/PPQ1B2P/R2R1NK1 b - f3 0 16	d7c6 e2d3 h3h5 d3e4 c7d6 c5d6
48	52	8/1bp5/1p1p1kpp/p1r5/P3p3/1P2R1PP/2PR1P2/6K1 w - - 0 29	g1f1 f6f5 c2c3 g6g5 f2f3 e4f3
54	56	r4k2/pp2Q3/1nn1pbp1/3pp1P1/4bP1N/2N5/PP1B4/R3KB2 b Q - 0 22	f6e7 c3e4 d5e4 f1g2 e5f4 d2f4
25	4	r1bqnrk1/1pbn1pp1/p6p/2p1pN2/P2pP3/N2P2PP/1PPQ1PB1/R1B2RK1 w - - 6 11	b2b4 a6a5 b4c5 d7c5 a3b5 c8f5
53	52	5rk1/2p3q1/1p1p2p1/pP1Prb1p/2P1p2P/R1Q5/1P1NRPP1/6K1 w - - 8 30	c3g3 e5e8 a3e3 g7d4 g3g5 a5a4
43	0	r1b1k2r/pppq3p/3b1ppQ/3Pp3/1P1p4/P2P2P1/2K1NPBP/R1B4R b kq - 0 10	d7a4 c2d2 c8f5 g2h3 f5h3 h6h3
3	3	rn1qkb1r/pp2n1pp/4bp2/1P1p4/3Pp3/8/PBPN1PPP/RN1QKB1R w KQkq - 2 5	c2c4 f6f5
50	39	2kr4/R7/1p1p3r/2n5/2p1B3/2P3P1/P7/1R4K1 w - - 1 30	e4d5 h6g6 g1g2 d8d7 a7d7 c8d7
51	51	5rk1/1qp1n1pp/b2b4/3pNp2/1p1PnP2/3NP1P1/1P2B2P/3QBRK1 b - - 7 18	a6b5 d3f2 h7h6 f2e4 d5e4 h2h3
20	94	3rk2r/pp2bpp1/P1n5/4p3/2P1p2N/2P3Pb/1P3P2/RN1Q2K1 w k - 1 15	d1a4 e7h4 a6b7 e8e7 b1a3 h8h6
64	34	r4rk1/3b1p1p/3qpb1P/pp6/3P2P1/1PB1Q3/2R1B3/2R3K1 b - - 2 27	a8c8 d4d5
73	35	R4B2/1p1b2bk/1P2n1p1/4p2p/7P/4P1P1/3N1q2/2Q2B1K b - - 0 30	d7c6 c1c6 b7c6 b6b7 f2d2 b7b8q
35	58	r2qr1k1/5pp1/1pp2nbp/1B1p4/1n1P2P1/1P2PP2/P2BN1P1/R2Q1RK1 b - - 1 16	c6b5 d2b4 h6h5 g4h5 f6h5 d1d2
131	113	3r4/6bk/2r3p1/5p1p/3B1P1P/P1Pp1qP1/1Q1R1P2/4R1K1 b - - 4 31	g7d4 c3d4 d8c8 b2b1 c6c3 b1d1
34	12	r1bqkb1r/1pp1n3/p1n5/3pNppp/3P4/2N1P2P/PPP2PB1/R1BQ1RK1 w kq - 0 7	e3e4 f5e4 c1g5 c6e5 d4e5 c7c6
105	74	8/7p/8/6P1/1b4R1/1k2PK2/r7/8 b - - 2 63	a2a6 g4f4 a6a7 f3g4 b4c3 g4h5
10	10	r2q1rk1/1bpnbpp1/1p2pn1p/3pN3/p1PP4/1P2P1P1/PB2QPBP/RN3RK1 w - - 1 8	f1d1 f6e4 e5d3 a4b3 a2b3 a8a1
84	74	2rq1rk1/p2b1ppp/Ppn2b2/5P2/1p1P1Q2/4B1PP/1P1N2B1/R4RK1 b - - 2 17	c6e7 d2e4 e7f5 e4f6 d8f6 e3f2
46	68	5rk1/p5bp/6p1/2p1p3/PpPpP2P/1P3NP1/2P5/5RK1 b - - 0 29	h7h5 g1g2 a7a5 f1f2 f8f7 g2f1
