fen	played_uci	coda_cp	opp_cp	dur	src
r2q1rk1/p2b2b1/1p5n/1P1Np1pp/2PpPp2/P2P4/1B2B1PP/R3QRK1 w - - 0 14	a3a4	64	4	3	runA150.pgn
r2q1rk1/p2b2b1/1p5n/1P1Np2p/P1PpPpp1/3P4/1B2B1PP/R3QRK1 w - - 0 15	a4a5	76	13	3	runA150.pgn
r2q1rk1/p5b1/1p2b2n/PP1Np2p/2PpPpp1/3P4/1B2B1PP/R3QRK1 w - - 1 16	b2a3	48	0	3	runA150.pgn
5b2/7k/1P2b2n/4p2p/2PpPppq/3P4/1Q2B1PP/5RK1 w - - 3 25	e2d1	137	55	3	runA150.pgn
8/7k/1P1bb2n/4p2p/2PpPppq/3P4/1Q4PP/3B1RK1 w - - 5 26	c4c5	100	44	3	runA150.pgn
8/7k/1P2b2n/2b1p2p/3pPppq/3P4/1Q4PP/3B1RK1 w - - 0 27	b6b7	78	34	3	runA150.pgn
1Q6/5n1k/4b3/4p2p/3pPppq/3P4/6PP/3B1RK1 w - - 1 30	d1b3	93	23	2	runA150.pgn
1Q6/5n1k/8/4p2p/3pPppq/1b1P4/6PP/5RK1 w - - 0 31	b8b3	61	16	2	runA150.pgn
8/5nk1/8/4p1qp/3pPpp1/3P4/2Q3PP/5RK1 w - - 3 33	g1h1	41	0	2	runA150.pgn
8/5nk1/8/4p1qp/3pPp2/3P2p1/2Q3PP/5R1K w - - 0 34	c2e2	52	0	2	runA150.pgn
r3k1nr/p1pqbp1p/bpn1p1p1/8/4N3/2PP1NP1/PP2QPBP/R1B1K2R w KQkq - 6 8	c1f4	80	18	2	runA150.pgn
2kr2nr/p1pqbp1p/bpn1p1p1/8/4NB2/2PP1NP1/PP2QPBP/R3K2R w KQ - 8 9	e1c1	82	34	2	runA150.pgn
1r1b4/5pk1/1P1pq1p1/3Np3/2PpP3/1R3Q2/5P2/6K1 b - - 3 33	e6c8	101	8	3	runA150.pgn
1rqb4/5pk1/1P1p2p1/3Np3/2PpP3/1R6/4QP2/6K1 b - - 5 34	f7f5	88	28	3	runA150.pgn
1rqb4/6k1/1P1p2p1/3Npp2/2PpP3/1R6/4QP1K/8 b - - 1 35	b8b7	98	13	3	runA150.pgn
r2qr1k1/pp1b1ppp/5n2/3pn3/8/1P3PP1/PBPQ3P/2KR1BNR w - - 2 11	f1g2	148	65	13	runA150.pgn
r2qr1k1/pp3ppp/5n2/3pnb2/8/1P3PP1/PBPQ2BP/2KR2NR w - - 4 12	g1e2	131	72	13	runA150.pgn
2rqr1k1/pp3ppp/5n2/3pnb2/8/1P3PP1/PBPQN1BP/2KR3R w - - 6 13	e2d4	143	68	13	runA150.pgn
r1bqk1r1/1p2bp1p/2p2B2/3n1N2/2N1p3/pP2P3/P1P1BPPP/R2Q1RK1 b q - 0 11	c8f5	68	5	2	runA150.pgn
r2qk1r1/1p2bp1p/2p5/3n1b2/2NBp3/pP2P3/P1P1BPPP/R2Q1RK1 b q - 1 12	f5h3	71	2	2	runA150.pgn
rnbq1rk1/1p2ppbp/p1p3p1/8/2PPRB1N/1P4P1/5PBP/2RQ2K1 w - - 1 14	d1e2	92	37	2	runA150.pgn
rnbqr1k1/1p2ppbp/p1p3p1/8/2PPRB1N/1P4P1/4QPBP/2R3K1 w - - 3 15	d4d5	89	48	2	runA150.pgn
2rq1rk1/3pb1pp/4p3/1p3p2/8/1PR3P1/PB2PPKP/3Q1R2 w - - 0 16	c3c8	81	35	4	runA150.pgn
2q2rk1/3pb1pp/4p3/1p3p2/8/1P4P1/PB2PPKP/3Q1R2 w - - 0 17	f2f3	77	20	4	runA150.pgn
2q2r2/3pbkpp/4p3/1p3p2/8/1P3PP1/PB2P1KP/3Q1R2 w - - 1 18	d1d4	74	34	4	runA150.pgn
2r4r/k2b1p2/p3p1p1/p1npP2p/3N1P2/PPN2RP1/2P4P/1K1R4 w - - 1 20	b1c1	90	23	7	runA150.pgn
2r4r/k2b1p2/p3p1p1/2npP2p/p2N1P2/PPN2RP1/2P4P/2KR4 w - - 0 21	b3b4	75	23	7	runA150.pgn
2r4r/kn1b1p2/p3p1p1/3pP2p/pP1N1P2/P1N2RP1/2P4P/2KR4 w - - 1 22	c1b2	100	9	7	runA150.pgn
5r1k/1p2n1bp/p1q5/2pp1n2/P3rP2/1PPR1BP1/2N3QK/2B2R2 b - - 10 26	e4e6	69	-10	2	runA150.pgn
5r1k/1p2n1bp/p1q1r3/2pp1n2/P4P2/1PPRNBP1/6QK/2B2R2 b - - 12 27	e6h6	68	-1	2	runA150.pgn
r1bqkb1r/1pp1p1pp/p1n2n2/3p1pB1/3P4/2N1P2P/PPP2PP1/R2QKBNR w KQkq - 1 2	g1e2	119	60	44	runA150.pgn
r2qkb1r/1pp1p1pp/p1n1bn2/3p1pB1/3P4/2N1P2P/PPP1NPP1/R2QKB1R w KQkq - 3 3	g2g4	132	65	44	runA150.pgn
r2qkb1r/1pp1p1pp/p1n1bn2/3p2B1/3P2p1/2N1P2P/PPP1NP2/R2QKB1R w KQkq - 0 4	e2f4	128	75	44	runA150.pgn
8/4k3/8/4K3/8/2rB3R/8/8 w - - 49 195	h3h7	65	13	19	runA150.pgn
3k4/7R/8/4K3/8/2rB4/8/8 w - - 51 196	d3f1	64	19	19	runA150.pgn
3k4/7R/2r5/4K3/8/8/8/5B2 w - - 53 197	f1g2	68	13	19	runA150.pgn
r7/q4pk1/b3p1pn/3pP2p/p1p2PPN/PrP2B1P/1PR4K/3Q2R1 b - - 0 27	h5g4	28	-13	2	runA150.pgn
r7/q4pk1/b3p1pn/3pP3/p1p2PPN/PrP2B2/1PR4K/3Q2R1 b - - 0 28	a8h8	28	-17	2	runA150.pgn
r4rk1/2q2pp1/1p2pn2/p3Pn1P/2NPB2P/4P2Q/1P5K/R1B2R2 b - - 0 18	f6e4	165	-40	2	runA150.pgn
r4rk1/2q2pp1/1p2p3/p3Pn1P/3Pn2P/4P2Q/1P1N3K/R1B2R2 b - - 1 19	c7c2	223	-41	2	runA150.pgn
2r2rk1/5pp1/1p2p2P/p3P3/3P3P/4P2Q/1q6/R4R1K b - - 0 24	b2c2	-166	-55	4	runA150.pgn
2r2rk1/5pp1/1p2p2P/p3P3/3P1R1P/4P2Q/2q5/R6K b - - 2 25	c2c6	-105	-48	4	runA150.pgn
2r2rk1/5pp1/1pq1p2P/p3P3/3P1R1P/4P2Q/7K/R7 b - - 4 26	c6c2	-162	-40	4	runA150.pgn
2r2rk1/5pp1/1p2p2P/p3P3/3PPR1P/2Q5/8/R6K b - - 0 29	c8c3	-73	-26	3	runA150.pgn
5rk1/5pp1/1p2p2P/p3P3/3PPR1P/2r5/8/6RK b - - 1 30	g7g6	-72	-20	3	runA150.pgn
5rk1/5p2/1p2p1pP/p2PP3/4PR1P/2r5/8/6RK b - - 0 31	f8c8	-67	-12	3	runA150.pgn
8/5pk1/b6r/5p2/P3p3/2NpP1P1/3K3P/7R b - - 2 44	a6c4	73	17	5	runA150.pgn
8/5pk1/7r/P4p2/2b1p3/2NpP1P1/3K3P/7R b - - 0 45	g7h7	106	14	5	runA150.pgn
8/5p1k/7r/P4p2/N1b1p3/3pP1P1/3K3P/7R b - - 2 46	h6a6	65	12	5	runA150.pgn
3R4/1br5/6k1/4K3/4p2P/3pP3/8/3N4 b - - 9 67	c7c5	79	0	3	runA150.pgn
3R4/1b6/6k1/2r5/4pK1P/3pP3/8/3N4 b - - 11 68	c5f5	78	0	3	runA150.pgn
3R4/1b6/6k1/5r2/4p1KP/3pP3/8/3N4 b - - 13 69	f5d5	50	0	3	runA150.pgn
5k2/8/3rn1p1/R5P1/3p1PK1/3B4/8/8 w - - 9 66	g4f3	72	19	15	runA150.pgn
5k2/8/1r2n1p1/R5P1/3p1P2/3B1K2/8/8 w - - 11 67	a5e5	59	16	15	runA150.pgn
5k2/6n1/1r4p1/4R1P1/3p1P2/3B1K2/8/8 w - - 13 68	f3g4	70	13	15	runA150.pgn
