fen	A	B	gap_d	gap_deep	gap_e	vd	vdeep	ve
1r5k/4r1p1/1q5p/p1pBN3/1p1n1P1P/3Q2P1/2P4K/4R3 w - - 0 32	e1f1	h2h3	-54	0	0	EXONERATED	EXONERATED	EXONERATED
r1bqkb1r/1pp3pp/2n5/p3pn2/P3N3/1P3NPB/1BPP3P/R2QK2R b KQkq - 0 7	f5e3	f5e3	0	0	0	EXONERATED	EXONERATED	EXONERATED
2r1r1k1/1p1b2b1/pPp5/P3npp1/2P1pNPq/2B1P3/2QN1PB1/1R3RK1 w - - 0 22	f4h3	c3e5	60	31	43	SOFT	SOFT	SOFT
rnq2rk1/pbp2ppp/1p1ppb2/3P4/1PP5/2N2NP1/P2QPPBP/R4RK1 w - - 1 8	g2h3	a1c1	17	22	22	EXONERATED	EXONERATED	EXONERATED
r3qrk1/1bp2ppp/np1ppb2/p2P4/1PP5/P1N2NPB/3QPP1P/2R2RK1 w - - 1 11	f1d1	d5e6	128	89	90	CONFIRMED	CONFIRMED	CONFIRMED
5rrb/p1qb3k/np6/2pP1ppP/2N1p3/2B3Q1/PP2PPB1/2KR3R b - - 1 24	c7g3	h8c3	-20	0	0	EXONERATED	EXONERATED	EXONERATED
5r1k/6p1/1p3qb1/1Qp4p/5p2/1P3B2/P4PPP/4R1K1 w - - 4 29	h2h4	e1d1	15	7	8	EXONERATED	EXONERATED	EXONERATED
8/7k/3N1R1P/K2p4/3Pn3/8/1r6/8 w - - 13 67	d6e4	f6e6	0	0	0	EXONERATED	EXONERATED	EXONERATED
2r1rnk1/1b2q1np/1p2p1pQ/p1Pp1p2/P2P3N/BP1B2RP/5PP1/5NK1 w - - 3 26	f1d2	d3b5	7	0	0	EXONERATED	EXONERATED	EXONERATED
8/8/8/8/r3K2P/8/4NRpk/8 w - - 10 123	e4f3	e4f3	0	0	0	EXONERATED	EXONERATED	EXONERATED
1k5r/2pn4/1p3q1n/pP1Pp2Q/4P2R/6P1/P4PK1/R7 b - - 2 23	d7c5	d7c5	0	0	0	EXONERATED	EXONERATED	EXONERATED
6k1/6b1/2p1P1p1/n1B1p2p/P1p1pr1P/8/1r3PP1/2RBK2R b K - 1 20	a5b3	a5b3	0	0	0	EXONERATED	EXONERATED	EXONERATED
3n4/4q2k/1p2Npp1/p1p4p/Pn2PP1P/1BQ3P1/1P6/6K1 w - - 2 31	c3c4	c3c4	0	0	0	EXONERATED	EXONERATED	EXONERATED
2r3k1/1r4p1/3p4/P2P1b1P/1B3P2/1P1pR1K1/6R1/8 w - - 1 32	b4d2	b4d2	0	0	0	EXONERATED	EXONERATED	EXONERATED
2r3k1/1r4p1/3p4/P2P1b1P/5P1K/3pR3/3B2R1/8 w - - 2 34	a5a6	h5h6	-7	0	3	EXONERATED	EXONERATED	EXONERATED
r2r2k1/1qp1b1p1/3pp2p/p4p2/Pn1PPBQP/2N3P1/1P3PK1/R1R5 w - - 0 20	g4g6	g4g6	0	0	0	EXONERATED	EXONERATED	EXONERATED
k2r4/pb4Q1/4q3/5N2/8/7K/5Q2/8 b - - 12 64	e6c8	e6c8	0	0	0	EXONERATED	EXONERATED	EXONERATED
k1q3r1/pb4N1/8/4Q3/8/6K1/5Q2/8 b - - 18 67	c8c6	c8c6	0	0	0	EXONERATED	EXONERATED	EXONERATED
3r2k1/q4pp1/4p1p1/2p2nN1/r1P5/P1Q4P/5PP1/R1R3K1 b - - 1 29	f5d4	f5d4	0	0	0	EXONERATED	EXONERATED	EXONERATED
1r6/q5pk/4ppp1/2p5/r1PnN2P/P2Q4/R4PP1/2R3K1 b - - 0 33	a7c7	h7g8	20	15	15	EXONERATED	EXONERATED	EXONERATED
rr4k1/2p2pb1/2b1q1pp/p3P3/Pp1RP3/2P1BN1P/3Q1PP1/4R1K1 b - - 2 21	g8h7	g8h7	0	0	0	EXONERATED	EXONERATED	EXONERATED
r3k3/P1p5/8/4Pp2/1pP1pPp1/2n1P1P1/3R4/R3KB1r b - - 0 34	c7c6	c7c6	0	0	0	EXONERATED	EXONERATED	EXONERATED
4r3/p3q1k1/3pr3/p4R2/2pQ2Np/4p2P/1P4P1/6K1 b - - 1 30	g7g6	g7g6	0	0	0	EXONERATED	EXONERATED	EXONERATED
r1q1rk2/1pp2p1Q/1bnp1N1p/8/1PPP2bp/4P1P1/3B2BP/1R5K b - - 3 20	c8e6	f8e7	31	84	63	SOFT	CONFIRMED	SOFT
r7/1p2kp2/2n2p1Q/p1R5/2N4P/PP6/5pP1/R4Kq1 w - - 1 26	f1e2	f1e2	0	0	0	EXONERATED	EXONERATED	EXONERATED
2r1r3/p5bk/P2N1nqp/2P5/2QNb3/3p1BP1/5PKp/B6R b - - 3 31	c8d8	d3d2	133	144	146	CONFIRMED	CONFIRMED	CONFIRMED
r1b4r/pp2qpk1/3R2p1/1Bp4p/P4Q2/8/1PP3PP/5RK1 b - - 0 17	c8e6	c8f5	139	150	156	CONFIRMED	CONFIRMED	CONFIRMED
r6r/pp2qp2/3Rb1pk/1Bp4p/P7/4Q3/1PP3PP/5RK1 b - - 4 19	e7g5	e7g5	0	0	0	EXONERATED	EXONERATED	EXONERATED
r1bqkb1r/1ppn2pp/3p1n2/pP2pp2/2PP4/4P3/P3BPPP/RNBQK1NR w KQkq - 2 3	g1h3	d1c2	38	52	52	SOFT	SOFT	SOFT
b4r1k/3n1r2/3Pp3/Q1p3q1/N2Pp3/P3P1pP/2N3P1/2RR2K1 b - - 2 29	f7f2	f7f2	0	0	0	EXONERATED	EXONERATED	EXONERATED
r2qkb1r/3b2pp/1n3n2/1p1p1pB1/p2PpN1P/2P1P1P1/1P2BP2/RN1QK2R b KQkq - 1 10	f8d6	f8d6	0	0	0	EXONERATED	EXONERATED	EXONERATED
rr4k1/4bpp1/3p1n1p/q1n1p3/p1P1P3/P1N1B2P/2B1QPP1/1R3RK1 w - - 2 19	b1b8	e3d2	68	64	68	SOFT	SOFT	SOFT
3q1rk1/3bbpp1/p1n1pN1p/4P2Q/2pP1PN1/2p3P1/P5rP/3R1R1K b - - 1 19	g7f6	g7f6	0	0	0	EXONERATED	EXONERATED	EXONERATED
5R2/8/1pp3k1/2np4/K4RpP/P3P3/1P1r2P1/8 w - - 1 39	a4b4	a4b4	0	0	0	EXONERATED	EXONERATED	EXONERATED
3rq1k1/pp2r1b1/5nbp/4Q3/2N3P1/2P3P1/PP4B1/R1B2RK1 w - - 1 21	e5f4	e5f4	0	0	0	EXONERATED	EXONERATED	EXONERATED
8/6p1/4p3/3p2P1/1k3r2/3KRP1p/P6P/8 b - - 3 43	b4c5	b4c5	0	0	0	EXONERATED	EXONERATED	EXONERATED
4rb2/4Np1k/2b2Pp1/2p3Qp/2Pp3P/1q3P2/1B1R4/5NK1 b - - 2 41	f8h6	b3f3	22	20	19	EXONERATED	EXONERATED	EXONERATED
3r4/2Q1Np1k/5Pp1/7p/2Pp3P/4qP2/1B4K1/8 b - - 1 46	d8f8	d8f8	0	0	0	EXONERATED	EXONERATED	EXONERATED
2q1r2k/5Bbp/2P3p1/1R3p1n/8/5QP1/4r2P/2B2R1K b - - 3 25	e8e5	e8d8	1	0	0	EXONERATED	EXONERATED	EXONERATED
2q4k/6bp/1RP3p1/4rp1n/2B5/5QP1/7P/2B1rR1K b - - 7 27	h7h6	h7h6	0	0	0	EXONERATED	EXONERATED	EXONERATED
8/6k1/6pp/5R2/8/6PK/8/8 b - - 0 61	g6f5	g6f5	0	0	0	EXONERATED	EXONERATED	EXONERATED
5rk1/pr1q2b1/1p4np/1Pp3p1/P1Pp1N2/1Q1P1NP1/3B1P1P/R4RK1 b - - 0 20	g5f4	g5f4	0	0	0	EXONERATED	EXONERATED	EXONERATED
4rbk1/1b3pp1/1q1r4/pp3PPQ/3PpN2/p3P1NP/8/3R1RK1 b - - 3 25	g7g6	g7g6	0	0	0	EXONERATED	EXONERATED	EXONERATED
rr4k1/5p1p/p5p1/q7/b1PPn3/1p1BP3/1Q1N1PPP/R3K2R b - - 3 22	e4d2	e4d2	0	0	0	EXONERATED	EXONERATED	EXONERATED
3rr1k1/1p3pp1/1q3b1p/p1pb4/3P1B2/P1P4P/1P1Q1PPN/R3R1K1 w - - 0 18	d4c5	d4c5	0	0	0	EXONERATED	EXONERATED	EXONERATED
r3r1k1/1p1bn1bp/2p2pp1/p1BpP1N1/P4P2/2PP3P/1P1R1KB1/4R3 w - - 0 20	e5e6	g5f3	27	45	40	EXONERATED	SOFT	SOFT
r2bk2r/1p1b3p/2Pp1n2/4p1pP/PP2PpP1/2N1qP1N/2Q1B3/1R2K2R b Kkq - 0 19	b7c6	b7c6	0	0	0	EXONERATED	EXONERATED	EXONERATED
8/5R2/4p3/2r1P1pk/8/5PK1/6P1/8 w - - 0 74	f7f6	f7f6	0	0	0	EXONERATED	EXONERATED	EXONERATED
