fen	coda_cp	opp_cp	outcome
2k5/2p3p1/1p5p/r5P1/4RP1P/2bN1K2/2P5/8 w - - 0 34	160	56	0.5
2k5/2p3p1/1p6/r5p1/2R2PKP/3N4/2P5/b7 w - - 2 36	177	62	0.5
8/2p3p1/1p1k4/r4PP1/2R3K1/3N4/2P5/b7 w - - 1 38	208	83	0.5
8/2pk2p1/1p2R3/r4PP1/6K1/2bN4/2P5/8 w - - 5 40	178	70	0.5
8/2pk2p1/1p6/r4PP1/6K1/2bN4/2P5/4R3 w - - 9 42	163	67	0.5
8/2pk2p1/8/rp3PP1/6K1/8/2P1RN2/b7 w - - 0 44	190	56	0.5
8/2pk2p1/8/r4PP1/1p2R1K1/2bN4/2P5/8 w - - 2 46	145	43	0.5
8/2p1k1p1/8/1rN2PP1/1pR3K1/2b5/2P5/8 w - - 6 48	112	28	0.5
5bk1/1r4p1/2p1q2p/3p4/1B6/4r1P1/P1Q4P/1R1R2K1 w - - 0 28	-193	-103	0.5
5Bk1/6p1/2p1q2p/3p4/8/3Q2P1/P3r2P/1r1R2K1 w - - 0 30	-202	-73	0.5
4k3/6p1/2p1q2p/3p4/8/5QP1/P3r2P/1R4K1 w - - 2 32	-162	-34	0.5
2k5/1R4p1/2p1q2p/3p4/8/5QP1/P3r2P/6K1 w - - 6 34	-167	-30	0.5
2k5/6R1/2p4p/3p4/8/4r1P1/P6P/6K1 w - - 0 36	-140	-42	0.5
1rbq1rk1/1pp2pb1/3p2p1/p1n1p2p/1nP1P2P/1P1P1NP1/PB1Q1PB1/R3NRK1 b - - 0 10	168	71	0.5
1rb1qrk1/2p2pb1/1P1p2p1/p1n1p2p/1n2P2P/1P1P1NP1/PB1Q1PB1/R3NRK1 b - - 0 12	242	121	0.5
2b1qrk1/2p3b1/1r1p1pp1/p1n1p2p/1n2P2P/1P1P2PN/PB1Q1PB1/R3NRK1 b - - 1 14	248	101	0.5
2b2rk1/2p3b1/1r1p1pp1/1qn1p2p/Pn2P2P/2BP2PN/P2Q1PB1/R3NRK1 b - - 0 16	238	122	0.5
5rk1/2p3b1/br1p1pp1/1q2p2p/nn2P2P/2BP2PN/P2Q1PBK/3RNR2 b - - 3 18	238	121	0.5
5rk1/2p3b1/br1p1pp1/4p2p/qn2P2P/2QP2PN/P2R1PBK/4NR2 b - - 2 20	257	123	0.5
5rk1/2p3b1/br1p1pp1/4p2p/qn2P2P/2QP2PN/P2R1PBK/4NR2 b - - 6 22	260	112	0.5
5rk1/2p3b1/b2p1pp1/2r1p2p/qn2PP1P/3P2PN/PQ1R2BK/4NR2 b - - 0 24	224	111	0.5
1r4k1/2p3b1/b1np1pp1/2r1p2p/q3PP1P/3P2PN/P2R1RBK/Q3N3 b - - 4 26	209	100	0.5
6k1/2p3b1/brnp1pp1/2r4p/q3PP1P/3P3N/P1R2RBK/Q3N3 b - - 0 28	170	74	0.5
6k1/2p3b1/br3pp1/2p4p/q2nPP1P/3P3N/P4RBK/2Q1N3 b - - 1 30	197	105	0.5
6k1/5r2/3pn1p1/2p4p/q1Q2P1P/3P4/P4R1K/4N3 b - - 1 38	174	40	0.5
8/3q1rk1/3pn1p1/2p4p/4QP1P/3P4/P1N2R1K/8 b - - 5 40	141	26	0.5
8/4qrk1/3pn3/2p2R1p/4Q2P/3P4/P1N4K/8 b - - 0 42	104	15	0.5
8/6k1/3pn3/2p2Q1p/7q/3P4/P1N3K1/8 b - - 1 44	100	15	0.5
8/6k1/3p2n1/2p2Q1p/7q/3PNK2/P7/8 b - - 5 46	109	11	0.5
8/4q1k1/3p2n1/2p2Q1p/8/3PN3/P4K2/8 b - - 9 48	97	13	0.5
8/6k1/3p1qn1/2p2Q1p/8/3PN1K1/P7/8 b - - 13 50	119	8	0.5
r2q1rk1/5pp1/1R2pn2/2Q1N3/p4P1p/2PPP2P/6P1/5RK1 w - - 2 22	195	54	0.5
r4rk1/3q1pp1/1R2p3/2Q5/p1P2P1p/3PP2P/6P1/5RK1 w - - 0 24	125	31	0.5
5rk1/3q1pp1/1r2p3/8/p1P2P1p/Q2PP2P/6P1/1R4K1 w - - 0 26	129	23	0.5
5rk1/5pp1/1R2p3/q1P5/p4P1p/Q2PP2P/6P1/6K1 w - - 1 28	119	19	0.5
r5k1/5pp1/4p3/2P5/p2P1P1p/Q3P2P/3q2P1/1R4K1 w - - 1 30	108	16	0.5
8/8/7N/8/4K1p1/r6k/3R3P/8 w - - 0 65	101	9	0.5
8/8/8/r3KN2/6p1/7k/3R3P/8 w - - 4 67	112	10	0.5
8/r7/8/5NK1/6p1/7k/3R3P/8 w - - 8 69	128	11	0.5
8/8/8/5N2/r4Kp1/7k/5R1P/8 w - - 12 71	101	4	0.5
8/8/8/5N2/r4Kp1/7k/5R1P/8 w - - 16 73	89	5	0.5
8/5k2/5p2/8/4K2p/6b1/4N3/8 b - - 3 52	130	50	0.5
8/8/3b1pk1/8/4K2p/7N/8/8 b - - 7 54	146	53	0.5
8/8/5p2/5k2/7p/5KbN/8/8 b - - 11 56	156	69	0.5
